depth,SK Validation ACC,SK Test ACC,SK Validation MCC,SK Test MCC
1,0.59903,0.66489,0.23885,0.37563
2,0.66908,0.77660,0.33688,0.55521
3,0.69203,0.75532,0.38877,0.51110
4,0.69928,0.75000,0.40098,0.50025
5,0.70290,0.76064,0.41427,0.52202
6,0.70169,0.74468,0.41537,0.49340
7,0.69082,0.77128,0.39072,0.54631
8,0.69444,0.78723,0.39363,0.57564
9,0.69203,0.79787,0.38672,0.59588
10,0.68116,0.76596,0.36432,0.53240
11,0.68841,0.76064,0.37861,0.52202
12,0.66184,0.75532,0.32518,0.51075
13,0.65580,0.77660,0.31108,0.55332
14,0.65580,0.74468,0.31279,0.48936
15,0.64372,0.71809,0.28790,0.43679
16,0.64614,0.72340,0.29199,0.44936
17,0.63164,0.72872,0.26312,0.45810
18,0.63889,0.73936,0.27777,0.47940
19,0.62319,0.71809,0.24513,0.43818
20,0.63647,0.73404,0.27152,0.46979
