depth,Validation ACC,Test ACC,Validation MCC,Test MCC
1,0.59903,0.66489,0.23885,0.37563
2,0.66908,0.77660,0.33688,0.55521
3,0.69203,0.75532,0.38877,0.51110
4,0.70048,0.75532,0.40353,0.51110
5,0.69807,0.76596,0.40827,0.53240
6,0.70652,0.75532,0.42572,0.51355
7,0.69807,0.76596,0.40630,0.53630
8,0.69444,0.76596,0.39502,0.53495
9,0.68720,0.78723,0.37785,0.57656
10,0.67633,0.75532,0.35707,0.51250
11,0.67271,0.74468,0.34850,0.49114
12,0.66667,0.75000,0.33626,0.50231
13,0.66184,0.73404,0.32658,0.47195
14,0.65459,0.73404,0.31204,0.47195
15,0.65097,0.69681,0.30395,0.39471
16,0.64493,0.70213,0.29153,0.40508
17,0.63768,0.70745,0.27625,0.41605
18,0.63527,0.69681,0.27123,0.39418
19,0.63406,0.69681,0.26856,0.39418
20,0.63043,0.69681,0.26078,0.39418
