depth,SK Validation ACC,SK Test ACC,SK Validation MCC,SK Test MCC
1,0.5990338164251208,0.6648936170212766,0.23884986295784022,0.37562652600113
2,0.6690821256038647,0.776595744680851,0.33688114808064484,0.5552058482866767
3,0.6920289855072463,0.7553191489361702,0.38877224624071477,0.5111012519999519
4,0.6992753623188406,0.75,0.4009833960622819,0.5002548347986613
5,0.7041062801932367,0.7606382978723404,0.4164913532203863,0.5220155972154844
6,0.7016908212560387,0.75,0.41537427602894417,0.5034590618560787
7,0.6932367149758454,0.776595744680851,0.39561101480927385,0.5577550161821874
8,0.6944444444444444,0.7819148936170213,0.3936260372522846,0.5646291153555238
9,0.6908212560386473,0.8031914893617021,0.3846986973485363,0.6066920336919934
10,0.6799516908212561,0.7606382978723404,0.36277006773316184,0.5213060955662004
11,0.6739130434782609,0.7712765957446809,0.3507934063820032,0.5428297143559941
12,0.6678743961352657,0.75,0.3380615744514824,0.5002548347986613
13,0.6533816425120773,0.7446808510638298,0.306625406005305,0.48936170212765956
14,0.6618357487922706,0.7712765957446809,0.3237562483873001,0.5428297143559941
15,0.6388888888888888,0.723404255319149,0.27875500896967204,0.4484354928469312
16,0.643719806763285,0.7021276595744681,0.2888090025244089,0.4043468521104056
17,0.6304347826086957,0.7287234042553191,0.2609231478041925,0.4580953200054251
18,0.6461352657004831,0.7446808510638298,0.2919900858416982,0.4911436350228294
19,0.6256038647342995,0.75,0.25097054739108315,0.5007088381454646
20,0.6207729468599034,0.7287234042553191,0.2399863616619399,0.4580953200054251
